frame,gt_label,gt_x,gt_y,gt_z,nearest_lumen_dist,candidate_id,candidate_x,candidate_y,candidate_z,candidate_vox,candidate_signal
41,564,375.0,252.0,161.0,9.5002,37,380.46,253.246,153.326,2847,71.9981
41,625,474.0,340.0,119.0,3.6645,24,470.845,341.78,118.447,4333,86.8332
42,67,165.0,330.0,154.0,6.7067,8,166.838,327.786,147.942,3503,99.1572
42,98,219.0,386.0,91.0,4.5677,10,220.308,382.704,88.1209,3991,97.7605
42,131,213.0,194.0,168.0,3.796,27,212.011,197.647,167.638,2057,84.6874
42,162,298.0,145.0,161.0,2.5783,30,298.018,146.273,158.758,4418,78.8359
42,194,252.0,149.0,98.0,1.3212,2,251.91,149.867,97.0071,3768,102.24
42,225,390.0,156.0,84.0,6.8596,23,388.582,149.291,83.8204,3549,88.539
42,290,323.0,273.0,70.0,5.4816,11,323.06,272.981,64.5188,7742,97.6124
42,386,386.0,109.0,147.0,15.5407,20,387.2,113.732,132.246,4100,93.8047
42,449,464.0,180.0,175.0,8.9896,29,467.677,175.723,168.0,4687,79.4626
42,480,554.0,235.0,168.0,11.0624,33,549.13,232.867,158.299,4253,75.5792
42,564,375.0,247.0,161.0,5.8653,35,374.577,245.95,155.245,3433,73.4529
42,625,479.0,340.0,119.0,7.2094,26,474.667,344.54,115.452,3782,87.0332
43,67,161.0,329.0,147.0,0.7355,11,161.164,329.717,147.0,4834,98.3462
43,98,222.0,388.0,91.0,2.8955,3,221.807,387.014,88.2844,5841,104.079
43,131,211.0,193.0,175.0,16.6678,35,210.038,192.985,158.36,3979,73.1077
43,162,298.0,146.0,168.0,7.7981,32,294.335,146.821,161.166,4725,76.3899
43,194,251.0,137.0,98.0,3.4675,0,252.174,137.759,94.8268,6982,108.475
43,225,391.0,156.0,77.0,3.4437,5,391.053,154.931,73.7268,10157,102.661
43,290,317.0,272.0,70.0,3.368,12,317.135,271.891,66.6365,5570,97.8131
43,386,386.0,113.0,140.0,3.1749,7,385.081,116.039,140.0,4127,101.169
43,449,465.0,174.0,175.0,9.1923,21,464.496,173.068,165.869,7838,91.1925
43,480,555.0,234.0,168.0,26.577,31,552.307,232.616,141.596,5094,76.6773
43,564,366.0,241.0,147.0,4.0773,38,364.236,244.652,147.419,2254,59.9714
43,625,474.0,337.0,126.0,7.3909,27,474.187,343.736,122.964,3062,84.0008
44,67,160.0,337.0,140.0,6.3957,0,159.879,337.46,133.622,11393,113.041
44,98,226.0,387.0,91.0,3.5618,15,226.464,383.73,89.6666,4936,100.213
44,131,212.0,188.0,168.0,6.8085,33,211.818,189.273,161.314,3540,74.3074
44,162,300.0,143.0,175.0,11.1075,30,298.709,144.513,164.072,3880,83.6241
44,194,251.0,143.0,98.0,2.2542,8,251.893,144.449,96.5221,4629,104.6
44,225,392.0,152.0,77.0,5.084,16,393.737,149.979,72.6704,5598,100.003
44,290,320.0,269.0,70.0,3.8848,23,319.041,269.279,66.2458,5247,93.356
44,386,387.0,115.0,140.0,13.3185,21,388.834,120.229,127.889,5333,94.9562
44,449,459.0,178.0,175.0,1.8423,32,459.915,176.401,175.0,3369,79.3319
44,480,565.0,233.0,161.0,11.6759,29,562.117,234.666,149.809,4811,84.8982
44,564,365.0,254.0,147.0,6.0248,35,369.209,255.733,150.947,3157,65.1605
44,625,476.0,338.0,126.0,4.6821,27,477.6,342.261,124.902,3098,90.8613
45,67,151.0,329.0,126.0,2.3075,2,152.99,328.948,124.833,5879,108.627
45,98,231.0,387.0,91.0,4.4446,3,230.363,384.72,87.2383,5237,107.748
45,131,210.0,185.0,168.0,6.0533,32,209.536,184.515,161.984,4750,84.9562
45,162,302.0,148.0,161.0,1.8127,39,300.804,149.326,161.312,3903,76.3962
45,194,260.0,142.0,98.0,5.9137,4,260.927,142.475,92.1788,5010,107.67
45,225,396.0,153.0,77.0,4.4314,11,397.04,152.831,72.6957,10450,100.995
45,290,316.0,262.0,70.0,4.6412,19,318.186,263.877,66.3615,5592,92.348
45,386,382.0,115.0,140.0,14.7481,18,383.007,118.798,125.785,5040,93.2345
45,449,462.0,171.0,175.0,5.0675,21,462.511,169.805,170.102,4873,90.7018
45,480,562.0,236.0,168.0,2.9805,23,562.983,234.405,165.682,2848,89.6203
45,541,291.0,347.0,140.0,3.2183,7,290.623,345.983,136.97,5326,105.044
45,565,334.0,248.0,154.0,1.9308,17,333.313,246.247,154.428,2996,93.9039
45,590,403.0,237.0,154.0,0.8406,34,403.252,236.783,154.772,4656,84.0171
45,625,478.0,336.0,133.0,7.1601,37,480.049,341.977,129.632,4786,82.0034
46,67,147.0,330.0,126.0,4.2421,5,146.693,329.008,121.887,10647,108.179
46,98,239.0,392.0,91.0,2.4802,3,238.673,391.719,88.5576,6271,108.994
46,131,204.0,189.0,161.0,5.0478,14,202.406,184.643,162.989,5902,97.5851
46,162,297.0,145.0,161.0,1.6025,49,296.984,144.605,162.553,3118,85.0697
46,194,264.0,149.0,91.0,4.6137,35,259.997,146.706,91.0,2641,88.9462
46,225,393.0,153.0,70.0,6.484,13,394.248,152.729,76.357,5931,97.7468
46,290,324.0,275.0,70.0,2.6903,32,321.66,275.685,68.8629,3175,91.0342
46,386,374.0,117.0,140.0,4.0243,38,375.761,113.438,139.363,2971,88.4225
46,449,469.0,165.0,175.0,0.442,42,469.041,164.808,174.604,3552,87.4381
46,480,566.0,228.0,161.0,4.3712,31,567.889,228.965,157.178,4215,91.0396
46,541,291.0,357.0,140.0,5.0013,22,291.68,356.035,144.86,3105,95.2448
46,565,326.0,247.0,161.0,3.2386,51,325.649,244.385,159.122,4150,84.8456
46,590,409.0,230.0,161.0,1.7809,30,408.777,229.355,159.355,3441,91.2567
46,625,475.0,335.0,133.0,3.5942,45,474.637,334.317,129.49,3073,86.8726
47,67,154.0,328.0,119.0,4.1838,14,151.015,325.866,121.01,7442,97.5315
47,98,240.0,390.0,98.0,7.9713,13,239.158,389.188,90.115,7883,98.3975
47,131,203.0,183.0,161.0,5.388,18,197.694,182.187,160.535,4114,95.6934
47,162,298.0,145.0,168.0,4.6781,35,293.681,143.326,168.655,3821,89.6817
47,194,256.0,156.0,91.0,3.2419,10,252.901,156.141,91.9414,5536,100.706
47,225,388.0,153.0,84.0,8.1879,16,390.0,153.258,76.0643,8151,97.4135
47,290,318.0,274.0,70.0,3.7864,6,317.07,274.001,66.3296,6969,104.85
47,386,371.0,116.0,133.0,2.4076,11,370.76,115.644,130.631,6897,100.286
47,449,479.0,172.0,168.0,2.5666,31,480.275,170.55,169.691,8675,90.9783
47,480,570.0,224.0,161.0,4.519,9,569.33,222.89,156.671,6711,102.702
47,541,290.0,365.0,147.0,0.6315,15,289.711,364.597,146.609,5308,97.5276
47,565,322.0,243.0,161.0,5.6032,53,320.907,242.051,166.413,4907,78.5935
47,590,410.0,233.0,168.0,3.6919,48,410.162,231.258,164.749,3956,80.8506
47,625,477.0,327.0,140.0,6.604,23,478.349,323.564,134.524,7048,94.2602
48,67,155.0,330.0,133.0,6.3315,7,149.484,330.68,129.967,2604,104.993
48,98,244.0,391.0,105.0,4.8443,18,246.462,386.828,105.0,4823,99.4268
48,131,202.0,186.0,168.0,6.9307,42,201.297,190.973,172.776,6132,90.0004
48,162,294.0,142.0,154.0,4.0656,36,293.437,144.396,150.764,2617,90.9871
48,194,263.0,153.0,91.0,4.2894,3,260.657,151.2,87.8905,8993,107.112
48,225,393.0,152.0,77.0,1.5371,32,394.527,152.165,76.9394,3931,92.7596
48,290,313.0,272.0,63.0,5.6297,15,311.887,269.421,67.8789,5361,100.749
